a,b,c,d
Monument KI Bistro,Kingisepp,Russia,"Monuments, sculptures, memorials"
Monument K. Lucko,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument KG Paustovsky in Tarusa,Tarusa,Russia,"Monuments, sculptures, memorials"
Monument KK Rokossovsky,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument KN Batyushkov,Vologda,Russia,"Monuments, sculptures, memorials"
Monument KE Tsiolkovsky,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument of Tsiolkovsky in Borovsk,Borowski,Russia,"Monuments, sculptures, memorials"
Pencil Monument and Blot the Dog,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Karl Marx,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to Karl Marx,Moscow,Russia,"Monuments, sculptures, memorials"
Monument Katri Paavolaynen,May Day,Russia,"Monuments, sculptures, memorials"
Monument to Cyril and Methodius,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Cyril and Methodius,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
Monument to Cyril and Methodius,Murmansk,Russia,"Monuments, sculptures, memorials"
Monument Claudia Nazarova,Isle,Russia,"Monuments, sculptures, memorials"
Monument Kole Myagotinu,Mound,Russia,"Monuments, sculptures, memorials"
Monument to Konstantin Vorobyov,Kursk,Russia,"Monuments, sculptures, memorials"
Monument kitten in the street Lizyukova,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument kitten in the street Lizyukova,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument Cat Kazan,Kazan,Russia,"Monuments, sculptures, memorials"
Monument Cat Semen,Murmansk,Russia,"Monuments, sculptures, memorials"
Monument Kudym-Oshu,Kudymkar,Russia,"Monuments, sculptures, memorials"
Book Pamyatnik Kuzebayu,Izhevsk,Russia,"Monuments, sculptures, memorials"
The monument to Kuzma Minin,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
His Pamyatnik,Astrakhan,Russia,"Monuments, sculptures, memorials"
Monument Podolsk cadets of military schools,Podolsk,Russia,"Monuments, sculptures, memorials"
monument to Kutuzov,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument Krasin,Mound,Russia,"Monuments, sculptures, memorials"
Monument to Leo Tolstoy,Moscow,Russia,"Monuments, sculptures, memorials"
LI monument Brezhnev,Novorossiysk,Russia,"Monuments, sculptures, memorials"
LN monument thick,Makhachkala,Russia,"Monuments, sculptures, memorials"
LN monument thick,Tula,Russia,"Monuments, sculptures, memorials"
Monument Larissa Popugaeva,Successful,Russia,"Monuments, sculptures, memorials"
Monument Le Corbusier,Moscow,Russia,"Monuments, sculptures, memorials"
monument Lefty,Tula,Russia,"Monuments, sculptures, memorials"
Lenin monument,Партизанск,Russia,"Monuments, sculptures, memorials"
Lenin monument,Abakan,Russia,"Monuments, sculptures, memorials"
Monument Leonid Gaidai,Irkutsk,Russia,"Monuments, sculptures, memorials"
monument Lermontov,Tambov,Russia,"Monuments, sculptures, memorials"
monument to Lomonosov,St. Petersburg,Russia,"Monuments, sculptures, memorials"
monument to Los,Izhevsk,Russia,"Monuments, sculptures, memorials"
monument Lyubochka,Omsk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Sholokhov,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Sholokhov,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Lomonosov,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Lomonosov,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Lomonosov on Moss,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Glinka,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument MI Platov,Novocherkassk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Bakhtin,Saransk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Kalashnikov,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Lermontov,Moscow,Russia,"Monuments, sculptures, memorials"
MV monument Lomonosov,University,Russia,"Monuments, sculptures, memorials"
MV monument Lomonosov,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument ME Pyatnitskoe,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to Saltykov-Shchedrin,Lebyazhe,Russia,"Monuments, sculptures, memorials"
Monument MI Glinka,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument MI Kutuzov,Kaliningrad,Russia,"Monuments, sculptures, memorials"
Monument MI Kutuzov,Moscow,Russia,"Monuments, sculptures, memorials"
Monument MI Kutuzov,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument MI Kutuzov near the village of Tsarevo-Zaymische,Tsarevo-Zaymishte,Russia,"Monuments, sculptures, memorials"
Monument M.I.Tsvetaevoy in Tarusa,Tarusa,Russia,"Monuments, sculptures, memorials"
Monument MO Mikeshin,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument MY Lermontov,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Monument Magomed Hajiyev,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument to Maxim Gorky,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Maxim Gorky on the waterfront,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
sailor monument,Vladivostok,Russia,"Monuments, sculptures, memorials"
monument Mowgli,Priozersk,Russia,"Monuments, sculptures, memorials"
Monument Mahach Dahadaevu,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument MiG-29,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to Minin and Pozharsky,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Bulgakov,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Speransky,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Ulyanov at Tara,Container,Russia,"Monuments, sculptures, memorials"
Monument to Michael Shumilova,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Lermontov,Gelendzhik,Russia,"Monuments, sculptures, memorials"
Monument to Michael Jankowski,Bezverhovo,Russia,"Monuments, sculptures, memorials"
Monument to Mikhail Yaroslavich Tverskoy,Tver,Russia,"Monuments, sculptures, memorials"
Pamyatnik him-his,St. Petersburg,Russia,"Monuments, sculptures, memorials"
monument Muse,Tomsk,Russia,"Monuments, sculptures, memorials"
Sightseeing Sasuke Вахитову,Kazan,Russia,"Monuments, sculptures, memorials"
Monument of Muraviev-Amur,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument N. Argentovskoy,Mound,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Gogol,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to NV Gogol Boulevard Hoholevskom,Moscow,Russia,"Monuments, sculptures, memorials"
Monument NPOgareva,Saransk,Russia,"Monuments, sculptures, memorials"
Monument NF Katanov,Abakan,Russia,"Monuments, sculptures, memorials"
NA monument Bugrov,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
NV monument Krylenko,Smolensk,Russia,"Monuments, sculptures, memorials"
NN monument Zhukov in Yelets,Dace,Russia,"Monuments, sculptures, memorials"
NN monument Muravyov-Amur,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument NE Bauman,Moscow,Russia,"Monuments, sculptures, memorials"
Neptune monument,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument Nikita Demidov,Tula,Russia,"Monuments, sculptures, memorials"
Monument Nikitkov-Flyers,Kungur,Russia,"Monuments, sculptures, memorials"
Monument to Nicholas I,St. Petersburg,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Nekrasov,Yaroslavl,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Muraviev-Amur,Chita,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Rubtsov,Vologda,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Rubtsov,Totma,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Rudnev,Volgograd,Russia,"Monuments, sculptures, memorials"
The monument to Nikolai Tarski,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to Saint Nicholas,Permian,Russia,"Monuments, sculptures, memorials"
Monument to Saint Nicholas,Maikop,Russia,"Monuments, sculptures, memorials"
Monument OI Gorodovikova,Elista,Russia,"Monuments, sculptures, memorials"
Monument OE Mandelstam,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to Oleg of Ryazan,Ryazan,Russia,"Monuments, sculptures, memorials"
Monument Olga Bergholz,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument to Osip Mandelstam,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Osip Mandelstam,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to Ostap Bender,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument PI Tchaikovsky,Tchaikovsky,Russia,"Monuments, sculptures, memorials"
Monument Pavel Tretyakov,Moscow,Russia,"Monuments, sculptures, memorials"
PA monument Solovyov,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument PI Tchaikovsky,Moscow,Russia,"Monuments, sculptures, memorials"
monument P.I.Batovu,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument PN Nesterov,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument Pavel Petrovich Kalitin,Hill,Russia,"Monuments, sculptures, memorials"
Monument Paris Commune (fighters of the revolution),Omsk,Russia,"Monuments, sculptures, memorials"
Monument to Patriarch Alexy II,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
monument Pioneers,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Vyborg,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Shlisselburg,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Priozersk,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Kaliningrad,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Biisk,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Voronezh,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Tula,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Taganrog,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Astrakhan,Russia,"Monuments, sculptures, memorials"
Monument to Peter I,Alekseevskaya,Russia,"Monuments, sculptures, memorials"
Monument to Peter I the Great,Baltiysk,Russia,"Monuments, sculptures, memorials"
Monument to Peter I and Nikita Demidov,Nevyansk,Russia,"Monuments, sculptures, memorials"
Pamyatnik Petru Movie,Hyzel,Russia,military glory
Monument to Peter the Great,Gagarin,Russia,"Monuments, sculptures, memorials"
Monument to Peter Simon Pallas,Pallasovka,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Kirov,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Novosibirsk,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia,Kursk,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia Murom,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia Murom,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia Murom,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to Peter and Fevronia in Biisk,Biisk,Russia,"Monuments, sculptures, memorials"
Monument to the Conquerors of the North,Nadym,Russia,"Monuments, sculptures, memorials"
The monument to Pushkin,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument Potru I and Franz Lefort,Moscow,Russia,"Monuments, sculptures, memorials"
Monument Rasul Gamzatov,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument Rembrandt van Rijn,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
Rita monument on the Mamayev Hill,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument Richard Sorge,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument Rostislav Alexeyev,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Russian teacher,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument Rachmaninov,Novgorod,Russia,"Monuments, sculptures, memorials"
Monument Kirov,Pskov,Russia,"Monuments, sculptures, memorials"
Monument Kirov,Volgograd,Russia,"Monuments, sculptures, memorials"
SV monument Rachmaninoff,Tambov,Russia,"Monuments, sculptures, memorials"
monument S.G.Chavaynu,Yoshkar-Ola,Russia,"Monuments, sculptures, memorials"
SI monument Mosin,Tula,Russia,"Monuments, sculptures, memorials"
SM monument Kirov,Murmansk,Russia,"Monuments, sculptures, memorials"
SM monument Kirov at the October Prospect,Kirov,Russia,"Monuments, sculptures, memorials"
SM monument Kirov Square on Lepse,Kirov,Russia,"Monuments, sculptures, memorials"
SN monument Sergeyev-Tsensky,Tambov,Russia,"Monuments, sculptures, memorials"
Monument Salchak Toka,red,Russia,"Monuments, sculptures, memorials"
Monument Samuel Marshak,Voronezh,Russia,"Monuments, sculptures, memorials"
monument to Sakharov,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument Sasha Filippov,Volgograd,Russia,"Monuments, sculptures, memorials"
"Monument to St. Nicholas the Wonderworker, Archbishop of Myra",Petropavlovsk-Kamchatsky,Russia,"Monuments, sculptures, memorials"
Monument to St. Nicholas the Wonderworker,Açair,Russia,"Monuments, sculptures, memorials"
Monument St. Catherine,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument St. Peter and Fevronia,Tambov,Russia,"Monuments, sculptures, memorials"
Monument of Sacred Peter and Fevronia,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Monument Sene Raspberries,Arkhangelsk,Russia,"Monuments, sculptures, memorials"
Monument to Sergei Korolev and Yuri Gagarin,Taganrog,Russia,"Monuments, sculptures, memorials"
Monument to Sergius of Radonezh,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Sergius of Radonezh,Elista,Russia,"Monuments, sculptures, memorials"
Monument Serebdzhabu Tyumen,Elista,Russia,"Monuments, sculptures, memorials"
Monument Siberian Coin,Suzuki,Russia,"Monuments, sculptures, memorials"
Monument bumpkin in Pskov,Pskov,Russia,"Monuments, sculptures, memorials"
monument of Glory,Voronezh,Russia,"Monuments, sculptures, memorials"
The monument of the Slavic alphabet,Rossosh,Russia,"Monuments, sculptures, memorials"
monument to Solzhenitsyn,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument Sophia shelf,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument to Stepan Khalturin,Kirov,Russia,"Monuments, sculptures, memorials"
Monument Suleiman Stalskiy,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument Tamara Hahlynovoy,Elista,Russia,"Monuments, sculptures, memorials"
Monument Tambov peasant,Tambov,Russia,"Monuments, sculptures, memorials"
Monument Tatarkanu Kokoity,Vladikavkaz,Russia,"Monuments, sculptures, memorials"
Timiryazev monument on Tverskoy Boulevard,Moscow,Russia,"Monuments, sculptures, memorials"
Monument Torkel Knutsson,Vyborg,Russia,"Monuments, sculptures, memorials"
monument Trezzini,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument Trokayu Borisov,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument of the Millennium of Russia,Novgorod,Russia,"Monuments, sculptures, memorials"
Monument UBUS Han,Elista,Russia,"Monuments, sculptures, memorials"
Monument Ural Volunteer Tank Complex,Permian,Russia,military glory
Monument to the Urals Volunteer Tank Corps,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to Fyodor Dostoyevsky,Omsk,Russia,"Monuments, sculptures, memorials"
Monument FH Grail,Permian,Russia,"Monuments, sculptures, memorials"
Monument F. Dzerzhinsky,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
Monument F. Dzerzhinsky,Moscow,Russia,"Monuments, sculptures, memorials"
Monument FA Shcherbina,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument FG Loginov,Volzhsky,Russia,"Monuments, sculptures, memorials"
Monument FM Dostoevsky,Moscow,Russia,"Monuments, sculptures, memorials"
Monument FM Dostoevsky,Moscow,Russia,"Monuments, sculptures, memorials"
Monument FM Dostoevsky cross bearing,Omsk,Russia,"Monuments, sculptures, memorials"
Monument FM Dostoevsky in Staraya Russa,Staraya Russa,Russia,"Monuments, sculptures, memorials"
monument F.M.Haritovu,Rybinsk,Russia,"Monuments, sculptures, memorials"
monument Ushakov,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument FE Dzerzhinsky,Nizhnevartovsk,Russia,"Monuments, sculptures, memorials"
Monument FE Dzerzhinsky,Volgograd,Russia,"Monuments, sculptures, memorials"
Ranevskaya monument,Taganrog,Russia,"Monuments, sculptures, memorials"
Monument to Fyodor Ivanovich Chaliapin,Kirov,Russia,"Monuments, sculptures, memorials"
Monument to Fyodor Solntsev and 26 Baku commissars,Gagarin,Russia,"Monuments, sculptures, memorials"
Monument to Franz de Volan Pavlovich,Novocherkassk,Russia,"Monuments, sculptures, memorials"
Monument to Friedrich Engels,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Fyodor Volkov,Yaroslavl,Russia,"Monuments, sculptures, memorials"
Pamyatnik Khongoru,Elista,Russia,"Monuments, sculptures, memorials"
Monument Invisible Man,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument Invisible Man,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Pamyatnik updated Valikhanova,Omsk,Russia,"Monuments, sculptures, memorials"
Monument of Sherlock Holmes and Dr. Watson,Moscow,Russia,"Monuments, sculptures, memorials"
Monument Edith Södergran,Roshchino,Russia,"Monuments, sculptures, memorials"
Monument Eleanor Prey,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Gagarin,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Gagarin,Bryansk,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Gagarin,Novocherkassk,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Zhdanov,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Gagarin,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Gagarin,Orenburg,Russia,"Monuments, sculptures, memorials"
Yury Dolgoruky Monument,Moscow,Russia,"Monuments, sculptures, memorials"
Yury Dolgoruky Monument,Kostroma,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Nikulin,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Nikulin in Demidov,Demidov,Russia,"Monuments, sculptures, memorials"
Monument to Yuri Nozhikovu,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument EP Baklanov,Novocherkassk,Russia,"Monuments, sculptures, memorials"
Monument YV Dyachenko,Khabarovsk,Russia,"Monuments, sculptures, memorials"
Monument JP Garelina,Ivanovo,Russia,"Monuments, sculptures, memorials"
Monument Yak-7B,Naryan-Mar,Russia,"Monuments, sculptures, memorials"
Памятник автомобилистам  Великой Отечественной войны quot;ЗИС-5quot;,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument to Admiral MP Lazarus,Novorossiysk,Russia,"Monuments, sculptures, memorials"
Monument to Admiral Makarov,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Admiral NG Kuznetsov in Arkhangelsk,Arkhangelsk,Russia,military glory
Monument to Admiral NG Kuznetsov Kotlas,Kotlas,Russia,military glory
Monument to Admiral NG Nevelsky,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument to Admiral Ushakov,Tambov,Russia,"Monuments, sculptures, memorials"
Monument of the Russian Navy Admiral FF Ushakov,Saransk,Russia,"Monuments, sculptures, memorials"
Monument to academician AE Fersman,Apatity,Russia,"Monuments, sculptures, memorials"
Monument to Academician Vladimir Larionov,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to Academician NN Bogolyubov,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument to Academician Sakharov,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
Monument Rotan Amur Belogorsk,Belogorsk,Russia,"Monuments, sculptures, memorials"
monument artekovtsev,Belokurikha,Russia,"Monuments, sculptures, memorials"
Pamjatnik ʙaʙru,Irkutsk,Russia,"Monuments, sculptures, memorials"
Monument bard Arcadia North,Ivanovo,Russia,"Monuments, sculptures, memorials"
Sightseeing барону Мюнхгаузену,Kaliningrad,Russia,"Monuments, sculptures, memorials"
monument behemoth,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument stray dogs,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to soldiers of the Taman army,Tuapse,Russia,"Monuments, sculptures, memorials"
monument fan,Tomsk,Russia,"Monuments, sculptures, memorials"
Monument to fighters for Soviet power,Makhachkala,Russia,"Monuments, sculptures, memorials"
Monument to the Good Soldier Schweik,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument armored train Kozma Minin,Nizhny Novgorod,Russia,military glory
Monument to the letter O,Vologda,Russia,"Monuments, sculptures, memorials"
Monument in honor of the 300th anniversary of the defense of Pskov by Stefan Batory troops,Pskov,Russia,"Monuments, sculptures, memorials"
Monument in honor of the 50th anniversary of the Red Army,Pskov,Russia,military glory
Monument in honor of Japan and the Primorye,Vladivostok,Russia,"Monuments, sculptures, memorials"
Monument in honor of the military builders,Krasnokamensk,Russia,"Monuments, sculptures, memorials"
Monument in honor of fellow soldiers who died in World War II,Petrovsk-Zabaykalsky,Russia,military glory
Monument in honor of awarding the Order of Lenin Amur region,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument in honor of sboyka tunnel number 2,Severobaikalsk,Russia,"Monuments, sculptures, memorials"
A monument in honor of Tomsk quatercentenary,Tomsk,Russia,"Monuments, sculptures, memorials"
Monument to the great explorers Semyon Dezhnev,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument cheerful goat,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
monument to love,Saratov,Russia,"Monuments, sculptures, memorials"
monument Vodovozov,St. Petersburg,Russia,"Monuments, sculptures, memorials"
monument plumber,Permian,Russia,"Monuments, sculptures, memorials"
monument plumber,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument governor Dmitry Kondyrovu,Kondrovo,Russia,"Monuments, sculptures, memorials"
Monument military communications,Ekaterinburg,Russia,"Monuments, sculptures, memorials"
Monument to the soldiers of the 28th Army,Elista,Russia,"Monuments, sculptures, memorials"
Monument Olonets regiments and popular militias Russian army 1698-1920 gg.,Petrozavodsk,Russia,military glory
Monument Afghans,Volgograd,Russia,"Monuments, sculptures, memorials"
Monument in Uryupinsk,Uryupinsk,Russia,"Monuments, sculptures, memorials"
Monument to the soldiers who died during the capture of Kazan,Kazan,Russia,military glory
Monument to the soldiers who died in the Great Patriotic War of 1941-1945,Belogorie,Russia,"Monuments, sculptures, memorials"
Monument to the soldiers who died during the Great Patriotic War,Quick Source,Russia,military glory
Monument to the soldiers who died of wounds in hospitals of the city of Novosibirsk in WWII,Novosibirsk,Russia,military glory
Monument-motorists,Tula,Russia,military glory
Monument to soldiers-countrymen who perished during the Great Patriotic War,Yakutsk,Russia,"Monuments, sculptures, memorials"
Monument to soldiers-internationalists,Blagoveshchensk,Russia,"Monuments, sculptures, memorials"
Monument to soldiers-internationalists,Samara,Russia,"Monuments, sculptures, memorials"
Monument to soldiers-internationalists,Kaliningrad,Russia,military glory
Monument to soldiers-internationalists,Taz,Russia,military glory
Monument to soldiers-internationalists,Rybinsk,Russia,"Monuments, sculptures, memorials"
Monument to soldiers-liberators,Tarko-Sale,Russia,military glory
Monument to soldiers-liberators,Krasnodar,Russia,"Monuments, sculptures, memorials"
Monument-severobaykaltsam,Severobaikalsk,Russia,"Monuments, sculptures, memorials"
Monument-athletes,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument to soldiers-internationalists,Kirov,Russia,"Monuments, sculptures, memorials"
The monument of military glory,Abakan,Russia,military glory
Monument to the Liberator Soldier,Hill,Russia,military glory
Monument Soldier winner,Tomsk,Russia,"Monuments, sculptures, memorials"
Monument to the Governor-General Sirotkina,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
The monument to Lieutenant General MG Ephraim Vyazma,Vyazma,Russia,"Monuments, sculptures, memorials"
A monument to Generalissimo AV Suvorov,Moscow,Russia,"Monuments, sculptures, memorials"
monument to Generalissimo Alexander Suvorov,Slavyansk-na-Kubani,Russia,"Monuments, sculptures, memorials"
Monument to General A. P. ermolov,Eagle,Russia,"Monuments, sculptures, memorials"
Monument to General de Gaulle,Moscow,Russia,"Monuments, sculptures, memorials"
Monument to the Heroic Defenders of Smolensk from the French troops,Smolensk,Russia,"Monuments, sculptures, memorials"
Monument to the heroes of the third battery of Lieutenant AP Maksutova,Petropavlovsk-Kamchatsky,Russia,"Monuments, sculptures, memorials"
Monument to the Heroes of the Guards Tank Corps,Tatsinskaya,Russia,military glory
Monument to the heroes of the Civil War,Trinity,Russia,"Monuments, sculptures, memorials"
Monument to the heroes of the First World War,Kaliningrad,Russia,military glory
Monument to the heroes of World War I.,Pskov,Russia,"Monuments, sculptures, memorials"
Monument to the heroes and victims of the 1905 revolution,Nizhny Novgorod,Russia,"Monuments, sculptures, memorials"
"Monument to the heroes of peacetime, fire and rescue workers",Novosibirsk,Russia,"Monuments, sculptures, memorials"
Памятник героям рассказа М.А. Шолохова quot;Судьба человекаquot;,Uryupinsk,Russia,"Monuments, sculptures, memorials"
Monument to the heroes of the Russian-Japanese War,Vladivostok,Russia,military glory
Monument to the heroes of the fairy tale The Wizard of Oz,Tomsk,Russia,"Monuments, sculptures, memorials"
Monument to the heroes who fell in the battles for the Motherland,Island-Zalit,Russia,military glory
Monument to the heroes who died in the Civil and the Great Patriotic War,Volzhsky,Russia,"Monuments, sculptures, memorials"
Monument to heroes-Stratonavts,Saransk,Russia,"Monuments, sculptures, memorials"
Monument to Duke Albrecht,Kaliningrad,Russia,"Monuments, sculptures, memorials"
monument Gidrostroiteley,Cheryomushki,Russia,"Monuments, sculptures, memorials"
gornozavodchikov monument to Nikolai Nikitich Demidov,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
"Miners mine monument III International, who died during the Great Patriotic War",Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
monument policeman,St. Petersburg,Russia,"Monuments, sculptures, memorials"
Monument urban angel,Nizhny Tagil,Russia,"Monuments, sculptures, memorials"
Monument urban water supply,Rostov-on-Don,Russia,"Monuments, sculptures, memorials"
Monument to Count NN Muravyov-Amur,Khabarovsk,Russia,"Monuments, sculptures, memorials"
Monument PI Count Shuvalov,Izhevsk,Russia,"Monuments, sculptures, memorials"
Monument to Count Stroganov,Solvychegodsk,Russia,"Monuments, sculptures, memorials"
Monument to count Apraksin,Vyborg,Russia,"Monuments, sculptures, memorials"
Monument to the grenadiers who fell at Plevna,Moscow,Russia,"Monuments, sculptures, memorials"
"Monument to the Hero of the Soviet Souza, Major General Aviation, Mikhail Kuznetsov",Pushchino,Russia,"Monuments, sculptures, memorials"
Monument to the Hero of the Soviet Union AV Vorozheikin,Gorodets,Russia,military glory
Monument twice Hero of the Soviet Union guards captain VS Ephraim,Volgograd,Russia,"Monuments, sculptures, memorials"
"Monument deningradtsam, builders Severobaikalsk",Severobaikalsk,Russia,"Monuments, sculptures, memorials"
Monument to the children of besieged Leningrad,Omsk,Russia,military glory
monument dinosaur,Tula,Russia,"Monuments, sculptures, memorials"
